item_id,name,category,unit,location,stock_level,par_level,reorder_point,min_order_qty,unit_cost,vendor_id,status,last_restock_date
G000001,N95 Respirator,PPE,Box of 20,Central Supply,105,331,132,165,25.07,VEN006,Critical Low,2025-11-21
G000002,N95 Respirator,PPE,Box of 20,MedSurg-North-Supply,15,20,8,10,17.67,VEN005,OK,2025-11-23
G000003,N95 Respirator,PPE,Box of 20,MedSurg-South-Supply,439,445,178,222,36.89,VEN006,OK,2026-01-13
G000004,N95 Respirator,PPE,Box of 20,ICU-Supply,57,63,25,31,146.72,VEN006,OK,2025-11-30
G000005,N95 Respirator,PPE,Box of 20,ED-Supply,20,84,33,42,82.92,VEN005,Critical Low,2025-12-16
G000006,N95 Respirator,PPE,Box of 20,OR-Supply,357,466,186,233,139.41,VEN006,OK,2025-12-05
G000007,Surgical Mask,PPE,Box of 50,Central Supply,107,122,48,61,101.08,VEN005,OK,2025-12-21
G000008,Surgical Mask,PPE,Box of 50,MedSurg-North-Supply,321,480,192,240,34.48,VEN005,OK,2026-01-17
G000009,Surgical Mask,PPE,Box of 50,MedSurg-South-Supply,227,321,128,160,2.07,VEN006,OK,2025-12-09
G000010,Surgical Mask,PPE,Box of 50,ICU-Supply,17,50,20,25,129.09,VEN004,Critical Low,2025-12-17
G000011,Surgical Mask,PPE,Box of 50,ED-Supply,57,141,56,70,81.35,VEN006,Low,2025-11-20
G000012,Surgical Mask,PPE,Box of 50,OR-Supply,342,471,188,235,117.91,VEN005,OK,2026-01-06
G000013,Isolation Gown,PPE,Case of 100,Central Supply,14,68,27,34,64.11,VEN005,Critical Low,2025-11-24
G000014,Isolation Gown,PPE,Case of 100,MedSurg-North-Supply,62,393,157,196,97.28,VEN004,Critical Low,2025-12-24
G000015,Isolation Gown,PPE,Case of 100,MedSurg-South-Supply,185,392,156,196,38.05,VEN004,Low,2025-12-15
G000016,Isolation Gown,PPE,Case of 100,ICU-Supply,63,249,99,124,69.93,VEN004,Critical Low,2025-12-21
G000017,Isolation Gown,PPE,Case of 100,ED-Supply,453,433,173,216,8.54,VEN006,OK,2025-11-26
G000018,Isolation Gown,PPE,Case of 100,OR-Supply,31,27,10,13,127.46,VEN004,OK,2025-12-23
G000019,Exam Gloves S,PPE,Box of 100,Central Supply,168,268,107,134,135.46,VEN004,OK,2025-12-25
G000020,Exam Gloves S,PPE,Box of 100,MedSurg-North-Supply,24,21,8,10,117.83,VEN005,OK,2025-12-31
G000021,Exam Gloves S,PPE,Box of 100,MedSurg-South-Supply,204,236,94,118,117.72,VEN006,OK,2025-12-04
G000022,Exam Gloves S,PPE,Box of 100,ICU-Supply,72,269,107,134,145.34,VEN006,Critical Low,2025-12-02
G000023,Exam Gloves S,PPE,Box of 100,ED-Supply,49,297,118,148,8.47,VEN005,Critical Low,2025-12-17
G000024,Exam Gloves S,PPE,Box of 100,OR-Supply,508,490,196,245,144.16,VEN004,OK,2025-11-25
G000025,Exam Gloves M,PPE,Box of 100,Central Supply,11,115,46,57,129.41,VEN005,Critical Low,2026-01-11
G000026,Exam Gloves M,PPE,Box of 100,MedSurg-North-Supply,345,475,190,237,6.92,VEN004,OK,2025-12-23
G000027,Exam Gloves M,PPE,Box of 100,MedSurg-South-Supply,264,356,142,178,140.27,VEN004,OK,2025-12-07
G000028,Exam Gloves M,PPE,Box of 100,ICU-Supply,172,386,154,193,20.5,VEN006,Low,2025-12-30
G000029,Exam Gloves M,PPE,Box of 100,ED-Supply,113,254,101,127,11.81,VEN005,Low,2025-12-10
G000030,Exam Gloves M,PPE,Box of 100,OR-Supply,30,308,123,154,32.76,VEN005,Critical Low,2026-01-10
G000031,Exam Gloves L,PPE,Box of 100,Central Supply,49,497,198,248,37.4,VEN005,Critical Low,2026-01-08
G000032,Exam Gloves L,PPE,Box of 100,MedSurg-North-Supply,248,244,97,122,92.14,VEN006,OK,2025-12-16
G000033,Exam Gloves L,PPE,Box of 100,MedSurg-South-Supply,20,24,9,12,139.83,VEN004,OK,2025-11-23
G000034,Exam Gloves L,PPE,Box of 100,ICU-Supply,34,88,35,44,111.62,VEN004,Critical Low,2026-01-01
G000035,Exam Gloves L,PPE,Box of 100,ED-Supply,125,164,65,82,31.34,VEN006,OK,2025-11-25
G000036,Exam Gloves L,PPE,Box of 100,OR-Supply,101,155,62,77,136.32,VEN004,OK,2026-01-13
G000037,Face Shield,PPE,Box of 50,Central Supply,194,344,137,172,1.53,VEN004,Low,2025-12-09
G000038,Face Shield,PPE,Box of 50,MedSurg-North-Supply,42,154,61,77,106.14,VEN006,Critical Low,2026-01-18
G000039,Face Shield,PPE,Box of 50,MedSurg-South-Supply,14,77,30,38,135.69,VEN006,Critical Low,2026-01-16
G000040,Face Shield,PPE,Box of 50,ICU-Supply,226,447,178,223,65.04,VEN004,Low,2025-12-30
G000041,Face Shield,PPE,Box of 50,ED-Supply,224,206,82,103,129.24,VEN005,OK,2026-01-05
G000042,Face Shield,PPE,Box of 50,OR-Supply,138,369,147,184,117.24,VEN005,Critical Low,2025-12-10
G000043,IV Tubing Primary,MedSurg,Case of 50,Central Supply,108,403,161,201,129.83,VEN004,Critical Low,2025-11-23
G000044,IV Tubing Primary,MedSurg,Case of 50,MedSurg-North-Supply,29,231,92,115,50.5,VEN005,Critical Low,2025-11-28
G000045,IV Tubing Primary,MedSurg,Case of 50,MedSurg-South-Supply,380,362,144,181,40.75,VEN006,OK,2026-01-12
