po_id,vendor_id,order_date,expected_delivery,status,item_count,total_cost,requested_by
PO20250001,VEN009,2025-08-20,2025-08-23,Closed,5,1586.01,STAFF7484
PO20250002,VEN001,2025-08-31,2025-09-02,Closed,1,28513.49,STAFF1803
PO20250003,VEN010,2025-03-14,2025-03-16,Closed,8,41725.53,STAFF5689
PO20250004,VEN002,2025-09-23,2025-09-26,Closed,10,40195.63,STAFF4588
PO20250005,VEN002,2025-02-27,2025-03-02,Closed,4,31234.11,STAFF3240
PO20250006,VEN009,2025-03-03,2025-03-06,Closed,2,45218.48,STAFF1645
PO20250007,VEN001,2025-08-13,2025-08-15,Closed,8,2151.54,STAFF6977
PO20250008,VEN005,2025-11-12,2025-11-16,Closed,2,45526.58,STAFF6352
PO20250009,VEN003,2025-06-20,2025-06-22,Closed,3,10439.34,STAFF9837
PO20250010,VEN005,2025-07-15,2025-07-19,Closed,9,25338.84,STAFF5465
PO20250011,VEN006,2025-10-26,2025-10-29,Closed,5,45745.42,STAFF8894
PO20250012,VEN002,2025-08-20,2025-08-23,Closed,6,40309.51,STAFF8673
PO20250013,VEN004,2025-12-11,2025-12-16,Closed,3,37830.5,STAFF4696
PO20250014,VEN003,2025-02-06,2025-02-08,Closed,7,48379.85,STAFF6992
PO20250015,VEN008,2025-12-03,2025-12-10,Closed,7,1188.97,STAFF9791
PO20250016,VEN007,2025-11-16,2025-11-26,Closed,8,18744.99,STAFF5295
PO20250017,VEN005,2025-03-25,2025-03-29,Closed,7,41209.66,STAFF7086
PO20250018,VEN002,2025-11-24,2025-11-27,Closed,4,23838.1,STAFF6374
PO20250019,VEN009,2025-03-12,2025-03-15,Closed,4,32558.79,STAFF8606
PO20250020,VEN001,2025-01-25,2025-01-27,Closed,5,32637.35,STAFF2911
PO20250021,VEN002,2025-11-08,2025-11-11,Closed,1,47339.95,STAFF5986
PO20250022,VEN008,2025-05-11,2025-05-18,Closed,2,5311.0,STAFF9807
PO20250023,VEN006,2025-11-10,2025-11-13,Closed,7,22955.37,STAFF9850
PO20250024,VEN007,2025-06-18,2025-06-28,Closed,10,37242.32,STAFF3531
PO20250025,VEN010,2025-06-20,2025-06-22,Closed,2,41767.81,STAFF7686
PO20250026,VEN004,2025-08-28,2025-09-02,Closed,1,34668.89,STAFF4559
PO20250027,VEN008,2025-06-05,2025-06-12,Closed,8,47552.48,STAFF6942
PO20250028,VEN007,2025-11-29,2025-12-09,Closed,6,27451.06,STAFF6876
PO20250029,VEN005,2025-12-18,2025-12-22,Closed,7,14156.13,STAFF3001
PO20250030,VEN006,2025-05-31,2025-06-03,Closed,2,33307.05,STAFF1349
PO20250031,VEN007,2025-12-24,2026-01-03,Closed,6,12556.66,STAFF3063
PO20250032,VEN009,2025-04-04,2025-04-07,Closed,4,3896.2,STAFF4394
PO20250033,VEN008,2025-03-24,2025-03-31,Closed,4,40746.12,STAFF4817
PO20250034,VEN005,2025-08-03,2025-08-07,Closed,3,39537.87,STAFF1046
PO20250035,VEN005,2025-08-30,2025-09-03,Closed,3,49382.6,STAFF9850
PO20250036,VEN010,2025-09-12,2025-09-14,Closed,3,5941.35,STAFF1422
PO20250037,VEN002,2025-11-12,2025-11-15,Closed,1,18232.99,STAFF4898
PO20250038,VEN009,2025-03-23,2025-03-26,Closed,6,1281.16,STAFF5347
PO20250039,VEN004,2025-12-23,2025-12-28,Closed,3,37215.04,STAFF9619
PO20250040,VEN009,2025-11-21,2025-11-24,Closed,2,24074.18,STAFF6931
PO20250041,VEN003,2025-05-01,2025-05-03,Closed,10,5898.17,STAFF9254
PO20250042,VEN006,2025-09-27,2025-09-30,Closed,10,2646.57,STAFF9543
PO20250043,VEN006,2025-08-17,2025-08-20,Closed,8,32345.36,STAFF1510
PO20250044,VEN001,2025-12-18,2025-12-20,Closed,8,42441.28,STAFF7984
PO20250045,VEN009,2025-02-01,2025-02-04,Closed,2,24768.31,STAFF8267
PO20250046,VEN010,2025-12-12,2025-12-14,Closed,2,16444.54,STAFF3430
PO20250047,VEN006,2025-12-16,2025-12-19,Closed,3,14113.29,STAFF9984
PO20250048,VEN002,2025-01-19,2025-01-22,Closed,6,19354.77,STAFF9692
PO20250049,VEN005,2025-08-21,2025-08-25,Closed,8,25524.78,STAFF8048
PO20250050,VEN009,2025-11-29,2025-12-02,Closed,2,42713.24,STAFF4522
PO20250051,VEN006,2025-06-12,2025-06-15,Closed,8,44460.51,STAFF7779
PO20250052,VEN001,2025-07-29,2025-07-31,Closed,8,20237.14,STAFF2557
PO20250053,VEN009,2025-08-11,2025-08-14,Closed,7,15969.92,STAFF5176
PO20250054,VEN003,2025-07-11,2025-07-13,Closed,3,34497.64,STAFF8770
PO20250055,VEN008,2025-12-15,2025-12-22,Closed,2,41672.71,STAFF2527
PO20250056,VEN010,2025-06-11,2025-06-13,Closed,2,37357.15,STAFF7105
PO20250057,VEN004,2025-11-13,2025-11-18,Closed,9,3469.06,STAFF6400
PO20250058,VEN008,2025-02-09,2025-02-16,Closed,2,20835.03,STAFF7929
PO20250059,VEN003,2025-12-23,2025-12-25,Closed,5,30220.3,STAFF6761
PO20250060,VEN001,2025-11-26,2025-11-28,Closed,10,25616.92,STAFF3535
PO20250061,VEN006,2025-02-16,2025-02-19,Closed,8,11600.12,STAFF2773
PO20250062,VEN009,2025-07-23,2025-07-26,Closed,9,18694.27,STAFF5564
PO20250063,VEN006,2025-03-31,2025-04-03,Closed,4,40457.46,STAFF1430
PO20250064,VEN007,2025-03-13,2025-03-23,Closed,5,1933.18,STAFF5477
PO20250065,VEN008,2025-01-24,2025-01-31,Closed,5,46116.11,STAFF6751
PO20250066,VEN003,2026-01-15,2026-01-17,Ordered,3,28532.89,STAFF7566
PO20250067,VEN005,2025-12-14,2025-12-18,Closed,3,37177.97,STAFF1502
PO20250068,VEN002,2025-12-03,2025-12-06,Closed,9,11149.08,STAFF7878
PO20250069,VEN004,2025-05-31,2025-06-05,Closed,6,8291.76,STAFF6105
PO20250070,VEN002,2025-08-05,2025-08-08,Closed,10,30013.08,STAFF1861
PO20250071,VEN005,2025-10-31,2025-11-04,Closed,3,37844.58,STAFF1815
PO20250072,VEN009,2025-02-07,2025-02-10,Closed,2,13969.09,STAFF7947
PO20250073,VEN003,2025-05-15,2025-05-17,Closed,10,22381.19,STAFF5475
PO20250074,VEN004,2025-09-30,2025-10-05,Closed,9,6133.97,STAFF8043
PO20250075,VEN003,2025-11-23,2025-11-25,Closed,5,34071.79,STAFF8972
PO20250076,VEN009,2025-04-24,2025-04-27,Closed,5,2748.16,STAFF7475
PO20250077,VEN010,2025-03-18,2025-03-20,Closed,1,880.51,STAFF5938
PO20250078,VEN001,2025-10-02,2025-10-04,Closed,3,38325.96,STAFF5742
PO20250079,VEN007,2025-08-04,2025-08-14,Closed,2,882.63,STAFF8055
PO20250080,VEN006,2025-10-21,2025-10-24,Closed,3,19320.27,STAFF4770
PO20250081,VEN007,2025-05-07,2025-05-17,Closed,9,41751.03,STAFF6802
PO20250082,VEN002,2025-12-13,2025-12-16,Closed,7,43157.34,STAFF1693
PO20250083,VEN010,2025-06-09,2025-06-11,Closed,1,23257.84,STAFF2275
PO20250084,VEN009,2025-08-11,2025-08-14,Closed,10,21749.57,STAFF7626
PO20250085,VEN001,2025-01-20,2025-01-22,Closed,7,14831.0,STAFF7636
PO20250086,VEN006,2026-01-08,2026-01-11,Received,6,9007.72,STAFF8538
PO20250087,VEN002,2025-01-30,2025-02-02,Closed,6,4862.43,STAFF2734
PO20250088,VEN009,2025-09-16,2025-09-19,Closed,7,29649.13,STAFF9584
PO20250089,VEN004,2025-12-09,2025-12-14,Closed,7,43590.96,STAFF6562
